id,timestamp,torque_value
1,2025-07-07 19:34:42,0.0
2,2025-07-07 19:34:43,0.0
3,2025-07-07 19:34:44,0.0
4,2025-07-07 19:34:45,0.0
5,2025-07-07 19:34:46,0.0
6,2025-07-07 19:34:47,0.0
7,2025-07-07 19:34:48,0.0
8,2025-07-07 19:34:49,0.0
9,2025-07-07 19:34:50,0.0
10,2025-07-07 19:34:51,0.0
11,2025-07-07 19:34:52,0.0
12,2025-07-07 19:34:53,0.0
13,2025-07-07 19:34:54,0.0
14,2025-07-07 19:34:55,0.0
15,2025-07-07 19:34:57,0.0
16,2025-07-07 19:34:58,0.0
17,2025-07-07 19:34:59,0.0
18,2025-07-07 19:35:00,0.0
19,2025-07-07 19:35:01,0.0
20,2025-07-07 19:35:02,0.0
21,2025-07-07 19:35:03,0.0
22,2025-07-07 19:35:04,0.0
23,2025-07-07 19:35:05,0.0
24,2025-07-07 19:35:06,0.0
25,2025-07-07 19:35:07,0.0
26,2025-07-07 19:35:08,0.0
27,2025-07-07 19:35:09,0.0
28,2025-07-07 19:35:10,0.0
29,2025-07-07 19:35:11,0.0
30,2025-07-07 19:35:12,0.0
31,2025-07-07 19:35:13,0.0
32,2025-07-07 19:35:14,0.0
33,2025-07-07 19:35:16,0.0
34,2025-07-07 19:35:17,0.0
35,2025-07-07 19:35:18,0.0
36,2025-07-07 19:35:19,0.0
37,2025-07-07 19:35:20,0.0
38,2025-07-07 19:35:21,0.0
39,2025-07-07 19:35:22,0.0
40,2025-07-07 19:35:23,0.0
41,2025-07-07 19:35:24,0.0
42,2025-07-07 19:35:25,0.0
43,2025-07-07 19:35:26,0.0
44,2025-07-07 19:35:27,0.0
45,2025-07-07 19:35:28,0.0
46,2025-07-07 19:35:29,0.0
47,2025-07-07 19:35:30,0.0
48,2025-07-07 19:35:31,0.0
49,2025-07-07 19:35:32,0.0
50,2025-07-07 19:35:34,0.0
51,2025-07-07 19:35:35,0.0
52,2025-07-07 19:35:36,0.0
53,2025-07-07 19:35:37,0.0
54,2025-07-07 19:35:38,0.0
55,2025-07-07 19:35:39,0.0
56,2025-07-07 19:35:40,0.0
57,2025-07-07 19:35:41,0.0
58,2025-07-07 19:35:42,0.0
59,2025-07-07 19:35:43,0.0
60,2025-07-07 19:35:44,0.0
61,2025-07-07 19:35:45,0.0
62,2025-07-07 19:35:46,0.0
63,2025-07-07 19:35:47,0.0
64,2025-07-07 19:35:49,0.0
65,2025-07-07 19:35:50,0.0
